,text,answer_start,q_idx
139,내측 측두엽,256,6237013-4-1
140,기억 통합 과정의 신경구조,49,6571357-4-0
141,내측 측두엽,256,6571357-4-1
142,엔리코 페르미,20,6585607-0-0
143,백금,338,6585607-0-1
144,탄탈럼,198,6585607-0-2
145,1934년,13,6538877-0-0
146,1950년대 후반,491,6538877-0-1
147,피치블렌드 광석,59,6585607-1-0
148,K. 지머맨,415,6585607-1-1
149,60년,250,6585607-1-2
150,클라프로트,52,6538877-1-0
151,페리고,271,6538877-1-1
152,1904년,210,6585607-2-0
153,광선,272,6585607-2-1
154,토륨,125,6585607-2-2
155,드비에른,24,6538877-2-0
156,1950년,430,6538877-2-1
157,브레븀,125,6585607-3-0
158,1.17분,95,6585607-3-1
159,130그램,423,6585607-3-2
160,brevis,150,6538877-3-0
161,1900년,7,6538877-3-1
162,1953년,76,6585607-4-0
163,중성자,363,6585607-4-1
164,아이비 마이크,47,6585607-4-2
165,1952년,69,6538877-4-0
166,1953년,76,6538877-4-1
167,31개,10,6585607-5-0
168,10일,207,6585607-5-1
169,Ra,396,6585607-5-2
170,1947년,173,6538877-5-0
171,방사성 넵투늄 족,152,6538877-5-1
172,퀴륨,5,6585607-6-0
173,19개,0,6585607-6-1
174,Cm,366,6538877-6-0
175,Cm과 Cm,30,6538877-6-1
176,237,5,6585607-7-0
177,352년,194,6585607-7-1
178,99.7%,164,6538877-7-0
179,352년,194,6538877-7-1
180,260,33,6585607-8-0
181,11개,275,6585607-8-1
182,262,321,6585607-8-2
183,Md,52,6538877-8-0
184,1.5시간,423,6538877-8-1
185,산화된 광물,72,6585607-9-0
186,호주,454,6585607-9-1
187,검정색,131,6585607-9-2
188,토륨과 우라늄,0,6538877-9-0
189,카자흐스탄,363,6538877-9-1
190,1942년,111,6585607-10-0
191,플루토늄,337,6585607-10-1
192,Np,16,6538877-10-0
193,1942년,111,6538877-10-1
194,질산,291,6585607-11-0
195,수산화토륨,159,6585607-11-1
196,수산화토륨 침전물,159,6538877-11-0
197,희토류 원소,261,6538877-11-1
198,탄산나트륨,353,6585607-12-0
199,부식성,226,6585607-12-1
200,상자성,261,6585607-13-0
201,3개,332,6585607-13-1
202,은빛,29,6585607-13-2
203,부드러운 강철,132,6538877-13-0
204,상사형,391,6538877-13-1
205,5f,344,6585607-14-0
206,강한 환원제,100,6585607-14-1
207,가수분해성 성질,287,6538877-14-0
208,복합적 성질,328,6538877-14-1
209,6족,60,6585607-15-0
210,선형 우라닐족,250,6585607-15-1
211,산소,456,6585607-15-2
212,6족 원소,60,6538877-15-0
213,약한 산화제,223,6538877-15-1
214,플루오린화물,163,6585607-16-0
215,승화,212,6585607-16-1
216,3나노그램,86,6585607-16-2
217,염과 할로겐,6,6538877-16-0
218,무수물의 성질,286,6538877-16-1
219,수소화물,102,6585607-17-0
220,염기성,267,6585607-17-1
221,가용성,69,6538877-17-0
222,란타넘족 염,308,6538877-17-1
223,플루오린,247,6585607-18-0
224,우라늄,542,6585607-18-1
225,12,398,6538877-18-0
226,배위 화합물의 형태,198,6538877-18-1
227,4kg,338,6585607-19-0
228,팻 맨,172,6585607-19-1
229,20킬로톤,260,6585607-19-2
230,핵 무기,12,6538877-19-0
231,6.2kg,286,6538877-19-1
232,5배,522,6585607-20-0
233,열전퇴 기능,262,6585607-20-1
234,임계 질량,85,6585607-20-2
235,높은 가격,202,6538877-20-0
236,감마선 조사,424,6538877-20-1
237,10,81,6585607-21-0
238,0.32mg,336,6585607-21-1
239,입자의 크기와 가용성,704,6585607-21-2
240,10년 이상,102,6538877-21-0
241,100%,893,6538877-21-1
242,내구성,350,6585607-22-0
243,고급 광물,48,6585607-22-1
244,마르코스의 기쁜 소식,73,6582046-0-0
245,마르코,0,6582046-0-1
246,마르티우스,253,6582046-0-2
247,마르코,0,6508932-0-0
248,마르티우스,253,6508932-0-1
249,마르코,0,6115474-0-0
250,비추이다,238,6115474-0-1
251,마르스,284,6115474-0-2
252,이스라엘,151,6582046-1-0
253,마리아,275,6582046-1-1
254,마리아,275,6508932-1-0
255,예루살렘,283,6508932-1-1
256,리비아,9,6115474-1-0
257,열 번,119,6115474-1-1
258,예루살렘,283,6115474-1-2
259,아니아누스,142,6582046-2-0
260,수선공,138,6582046-2-1
261,9세기,263,6582046-2-2
262,아니아누스,142,6508932-2-0
263,베네치아,340,6508932-2-1
264,구두수선공,109,6115474-2-0
265,돌팔매질,235,6115474-2-1
266,베네치아,382,6115474-2-2
267,7기,85,6482952-0-0
268,운명,178,6482952-0-1
269,미녀 삼총사,159,6011879-0-0
270,2007년 1월 10일,354,6011879-0-1
271,김형은,0,6482938-0-0
272,미녀 삼총사,159,6482938-0-1
273,청주,53,6570550-0-0
274,해미,0,6570550-0-1
275,해미읍성,285,6570550-0-2
276,1651년,39,5941565-0-0
277,해미읍성,285,5941565-0-1
278,충청 병마절도사영,10,6570705-0-0
279,1651년,39,6570705-0-1
280,"1,400~1,500여 명",81,6570705-0-2
281,1926년,0,6604582-0-0
282,1940년대부터 1960년대까지,248,6604582-0-1
283,1979년,321,6604582-0-2
284,10개팀,75,6538599-0-0
285,1940년,159,6538599-0-1
286,21개,327,6466019-0-0
287,1940년,159,6466019-0-1
288,12개,313,6466019-0-2
289,3개,56,6604582-1-0
290,15개,29,6604582-1-1
291,15개 구단,13,6538599-1-0
292,3개 지구,56,6538599-1-1
293,대서양지구,80,6466019-1-0
294,남동부지구,200,6466019-1-1
295,중부지구,278,6466019-1-2
296,아시아리그 아이스하키,0,6604582-2-0
297,일본 동경,247,6604582-2-1
298,아시아리그 아이스하키,0,6538599-2-0
299,총 8 팀,225,6538599-2-1
300,아시아리그 아이스하키,0,6466019-2-0
301,한국,135,6466019-2-1
302,일본,160,6466019-2-2
303,김연경,232,6488392-0-0
304,베이징 올림픽,356,6488392-0-1
305,김연경,232,6482019-0-0
306,흥국생명,183,6482019-0-1
307,47.59%,252,6482019-0-2
308,인천 GS칼텍스,199,5998742-0-0
309,47.59%,252,5998742-0-1
310,무릎 연골이 다시 파열,375,5998742-0-2
311,흥국생명,122,6488392-1-0
312,칸노 고이치로,586,6488392-1-1
313,김연경,28,6482019-1-0
314,KT&G,187,6482019-1-1
315,칸노 고이치로,586,6482019-1-2
316,3위,173,5998742-1-0
317,칸노 고이치로,586,5998742-1-1
318,JT 마블러스,324,6488392-2-0
319,최고의 공격수,9,6488392-2-1
320,JT 마블러스,324,6482019-2-0
321,김연경,53,6482019-2-1
322,JT 마블러스,324,5998742-2-0
323,김연경,96,5998742-2-1
324,JT 마블러스,109,6488392-3-0
325,44득점,287,6488392-3-1
326,25연승,134,6482019-3-0
327,다츠카와 미노루,338,6482019-3-1
328,평균 24.9점,46,5998742-3-0
329,44득점,287,5998742-3-1
330,총 득점 696점,405,5998742-3-2
331,런던 올림픽,6,6488392-4-0
332,트위터,88,6488392-4-1
333,4강,33,6482019-4-0
334,런던 올림픽,6,6482019-4-1
335,2012년 런던 올림픽,0,5998742-4-0
336,김연경의 트위터와 기사,83,5998742-4-1
337,김연경 사태,301,6488392-5-0
338,배구협회,106,6488392-5-1
339,흥국생명의 편을 드는,156,5998742-5-0
340,국정감사,452,5998742-5-1
341,김영무 변호사,303,6481957-0-0
342,2003년 7월 21일,100,6481957-0-1
343,김앤장 법률사무소,0,6481979-0-0
344,김영무 변호사,303,6481979-0-1
345,조합 형태,31,5998428-0-0
346,공동법률사무소,124,5998428-0-1
347,김영무 변호사,303,5998428-0-2
348,공무원,59,6488668-0-0
349,후지와라노 후히토,100,6488668-0-1
350,장안,40,6483056-0-0
351,후지와라노 후히토,100,6483056-0-1
352,장안,40,6461620-0-0
353,710년,0,6461620-0-1
354,다이호 율령,147,6461620-0-2
355,황실,62,6488668-1-0
356,삼세일신법,249,6488668-1-1
357,후지와라,472,6488668-1-2
358,후지와라 후히토,26,6483056-1-0
359,723년,235,6483056-1-1
360,후지와라 후히토,26,6461620-1-0
361,삼세일신법,249,6461620-1-1
362,고묘시,614,6461620-1-2
363,천연두,34,6488668-2-0
364,규슈,214,6488668-2-1
365,737년,17,6483056-2-0
366,쇼무 천황,419,6483056-2-1
367,천연두,34,6461620-2-0
368,후지와라 히로쓰구의 난,243,6461620-2-1
369,도다이지 대불,514,6461620-2-2
370,후지와라 나카마로,35,6488668-3-0
371,유교,239,6488668-3-1
372,794년,337,6483056-3-0
373,아와지,395,6483056-3-1
374,후지와라 나카마로,35,6461620-3-0
375,아와지,395,6461620-3-1
376,고켄 상황,406,6461620-3-2
377,다자이후,166,6488668-4-0
378,8세기,314,6488668-4-1
379,속일본기,213,6483056-4-0
380,720년 경부터,44,6483056-4-1
381,다자이후,166,6461620-4-0
382,신라,343,6461620-4-1
383,발해,439,6488668-5-0
384,양승경,212,6488668-5-1
385,오노 다모리,31,6461620-5-0
386,양승경,212,6461620-5-1
387,왕신복,389,6461620-5-2
388,왜,17,6488668-6-0
389,매신라물해,382,6488668-6-1
390,쇼소인,266,6461620-6-0
391,매신라물해,382,6461620-6-1
392,Charley Douglass의 웃음 트랙,133,6542089-0-0
393,나 혼자 산다,772,6542089-0-1
394,Charley Douglass,133,6542091-0-0
395,웃음 트랙,151,6542091-0-1
396,19070년,286,6526436-0-0
397,인공적인 웃음,491,6526436-0-1
398,미러 뉴런,99,6542089-1-0
399,엘리사베타 팔라지,412,6542089-1-1
400,미러 뉴런,120,6542091-1-0
401,엘리사베타 팔라지,412,6542091-1-1
402,미러 뉴런의 영향,99,6526436-1-0
403,하품,345,6526436-1-1
404,여성,360,6542089-2-0
405,결속력,163,6542089-2-1
406,여성,360,6542091-2-0
407,커다란 웃음,151,6542091-2-1
408,사회적 신호,19,6526436-2-0
409,서로의 결속력,159,6526436-2-1
410,1990년대 ,363,6542089-3-0
411,Ross Bagdasarian,252,6542089-3-1
412,Ross Bagdasarian,252,6542091-3-0
413,진정한 웃음,63,6542091-3-1
414,새로운 물결,416,6526436-3-0
415,순수한 반응,149,6526436-3-1
416,시드니 대학교,10,6559656-0-0
417,The Chaser,140,6559656-0-1
418,호주방송공사 텔레비전,373,6559656-0-2
419,2006년,0,6559656-1-0
420,금요일,129,6559656-1-1
421,2007년,207,6559656-1-2
422,리얼 버라이어티,238,6559656-2-0
423,유튜브,109,6559656-2-1
424,오사마 빈 라덴,134,6559656-3-0
425,알렉산더 다우너,243,6559656-3-1
426,제3섹터,94,6511493-0-0
427,도시계획 시설,29,6511493-0-1
428,2003년,338,6511493-0-2
429,대구광역시,105,6511494-0-0
430,청구,225,6511494-0-1
431,1991년 6월,0,6140323-0-0
432,제3섹터,94,6140323-0-1
433,민자역사 건립안,11,6511493-1-0
434,130여억원,166,6511493-1-1
435,대구복합화물터미널,221,6511493-1-2
436,행정자치부,138,6511494-1-0
437,2004년,3,6511494-1-1
438,2005년,152,6140323-1-0
439,행정자치부,138,6140323-1-1
440,건설교통부,71,6511493-2-0
441,부지 매입,487,6511493-2-1
442,한국철도공사,21,6511494-2-0
443,김의식,314,6511494-2-1
444,김의식,314,6140323-2-0
445,2008년,0,6140323-2-1
446,기자실,0,6261789-0-0
447,아키라,207,6261789-0-1
448,아사히,413,6261789-0-2
449,브리핑 자료를 요약,25,6480978-0-0
450,기자클럽,144,6480978-0-1
451,공무원의 관점,336,6480978-0-2
452,브리핑 자료를 요약,25,6480979-0-0
453,기자클럽,144,6480979-0-1
454,우오즈미 아키라,202,6480979-0-2
455,1990년대말,163,6261789-1-0
456,배타성,368,6261789-1-1
457,소수,343,6261789-1-2
458,가부토 클럽,176,6480978-1-0
459,폐쇄성과 배타성,363,6480978-1-1
460,국경없는 기자회,620,6480978-1-2
461,일본신문협회,59,6480979-1-0
462,EU,353,6480979-1-1
463,국경없는 기자회,620,6480979-1-2
464,1999년,0,6261789-2-0
465,일본자동차공업회(日本自動車工業会),267,6261789-2-1
466,경단연기계클럽,32,6480978-2-0
467,자동차산업기자회,291,6480978-2-1
468,"전자 설비, 조선, 자동차",75,6480978-2-2
469,경단연기계클럽,32,6480979-2-0
470,자동차산업기자회,291,6480979-2-1
471,1999년,0,6480979-2-2
472,허리띠,74,6570759-0-0
473,도로시 쉬트,97,6570759-0-1
474,해롤드 도스,295,6570759-0-2
475,데스몬드 도스,0,6570833-0-0
476,간호사,93,6570833-0-1
477,톰 도스,323,6570833-0-2
478,도로시 쉬트,97,5941850-0-0
479,톰 도스,323,5941850-0-1
480,허리띠,74,5941850-0-2
481,잭슨 기지,12,6570759-1-0
482,하웰 하사,206,6570759-1-1
483,도스,32,6570833-1-0
484,하웰,206,6570833-1-1
485,도로시,447,6570833-1-2
486,종교적 신념 때문에,36,5941850-1-0
487,정신병,131,5941850-1-1
488,하웰 하사,272,5941850-1-2
489,신춘호,10,6467462-0-0
490,새우깡,492,6467462-0-1
491,신춘호,10,6484373-0-0
492,롯데공업사,169,6484373-0-1
493,새우깡,492,6484373-0-2
494,롯데공업사,169,6484386-0-0
495,닭고기 육수,284,6484386-0-1
496,새우깡,492,6484386-0-2
497,신동원,566,6467462-1-0
498,신동원,760,6467462-1-1
499,율촌화학,43,6484373-1-0
500,메가마트,213,6484373-1-1
501,농심,31,6484373-1-2
502,율촌화학,43,6484386-1-0
503,메가마트,213,6484386-1-1
504,신동원,760,6484386-1-2
505,중국,259,6467462-2-0
506,백산수,499,6467462-2-1
507,신라면,14,6484373-2-0
508,백산수,499,6484373-2-1
509,신라면,122,6484373-2-2
510,약 2조원,174,6484386-2-0
511,100여 개국,345,6484386-2-1
512,생수 사업,434,6484386-2-2
513,골격근,123,6478415-0-0
514,맘대로근,158,6478415-0-1
515,골격근,123,6487962-0-0
516,콜라겐,329,6487962-0-1
517,가로무늬근,72,6259652-0-0
518,근섬유,279,6259652-0-1
519,힘줄,339,6259652-0-2
520,근원 섬유,116,6478415-1-0
521,근섬유막,71,6478415-1-1
522,근섬유막,71,6487962-1-0
523,근원 섬유,130,6487962-1-1
524,근질,303,6487962-1-2
525,반유동성 물질과 근원 섬유,107,6259652-1-0
526,근질,303,6259652-1-1
527,아르기닌인산,385,6478415-2-0
528,ATP,163,6478415-2-1
529,센트 죄르니,0,6487962-2-0
530,ATP,163,6487962-2-1
531,아르기닌인산,385,6487962-2-2
532,글리세롤근,76,6259652-2-0
533,크레아틴인산,234,6259652-2-1
534,근미,174,6478415-3-0
535,근두와 근미 사이,267,6478415-3-1
536,정지,197,6487962-3-0
537,근복,278,6487962-3-1
538,슬개골,719,6487962-3-2
539,다관절근,138,6478415-4-0
540,수축,259,6478415-4-1
541,다관절근,138,6487962-4-0
542,7개,386,6487962-4-1
543,단관절근,25,6259652-4-0
544,다관절근,138,6259652-4-1
545,협력근,68,6478415-5-0
546,굴근,128,6478415-5-1
547,신근,91,6487962-5-0
548,길항근,32,6487962-5-1
549,대항근,20,6259652-5-0
550,협력근,68,6259652-5-1
551,미오넴,189,6478415-6-0
552,키노플라즈마,268,6478415-6-1
553,미오넴,189,6487962-6-0
554,키노플라즈마,268,6487962-6-1
555,0.18초,121,6478415-7-0
556,0.003초,160,6478415-7-1
557,외골격,418,6487962-7-0
558,0.18초,121,6487962-7-1
559,외골격,418,6259652-7-0
560,집파리,142,6259652-7-1
561,일본 전역,0,6548400-0-0
562,1945년 8월까지,247,6548400-0-1
563,태평양 전쟁,361,6548402-0-0
564,일본 전역,0,6548402-0-1
565,쿠릴 열도 상륙 작전,188,5854425-0-0
566,일본 전역,0,5854425-0-1
567,일본군이 항복을 거부,353,6548400-1-0
568,주요 도시,16,6548400-1-1
569,이오지마와 오키나와,228,6548402-1-0
570,연합군,0,6548402-1-1
571,일본군이 항복을 거부,353,5854425-1-0
572,일본의 대공포와 방공 무기,199,5854425-1-1
573,일본의 항복,0,6548400-2-0
574,원자폭탄을 투하,55,6548400-2-1
575,"태평양 전쟁, 제2차 세계 대전",9,6548402-2-0
576,히로시마와 나가사키,43,6548402-2-1
577,원폭 투하,452,5854425-2-0
578,제2차 세계 대전,17,5854425-2-1
579,디에고 데 로살레스,47,6560883-0-0
580,아콩카과 협곡,217,6560883-0-1
581,Chili,92,6464200-0-0
582,추운,324,6464200-0-1
583,tchili,357,6464200-0-2
584,남아메리카 대륙 최남단,27,6560883-1-0
585,페드로 데 발다비아,284,6560883-1-1
586,산티아고 데 누에바 엑스트레마두라,316,6560883-1-2
587,1520년,0,6464200-1-0
588,금,143,6464200-1-1
589,디에고 데 알마그로,82,6464200-1-2
590,1881년,61,6560883-2-0
591,1920년대,427,6560883-2-1
592,산티아고 정부,8,6464200-2-0
593,아타카마 사막,204,6464200-2-1
594,1920년대,427,6464200-2-2
595,1924년,0,6560883-3-0
596,1958년,472,6560883-3-1
597,1924년,0,6464200-3-0
598,10개,60,6464200-3-1
599,이바녜즈 델 캄포,256,6464200-3-2
600,36.62%,53,6560883-4-0
601,미국,266,6560883-4-1
602,살바도르 아옌데,43,6464200-4-0
603,구리,352,6464200-4-1
604,CIA,389,6464200-4-2
605,미국,13,6560883-5-0
606,16년,224,6560883-5-1
607,1973년,0,6464200-5-0
608,피노체트,202,6464200-5-1
609,나뭇잎,411,6464200-5-2
610,1988년,0,6560883-6-0
611,2006년,308,6560883-6-1
612,반 피노체트 운동,51,6464200-6-0
613,Lavin,265,6464200-6-1
614,미첼레 바첼레트,334,6464200-6-2
615,2007-2008,169,6560883-7-0
616,3년,274,6560883-7-1
617,2009년,120,6464200-7-0
618,3년,274,6464200-7-1
619,"101,118만명",84,6560883-8-0
620,3.12%,72,6560883-8-1
621,20 세기 초,0,6464200-8-0
622,3.12%,72,6464200-8-1
623,옛 카스티야 상류층 집단,78,6560883-9-0
624,유럽인,314,6560883-9-1
625,이민자,51,6464200-9-0
626,북부나 남쪽 끝,271,6464200-9-1
627,"350,000",36,6560883-10-0
628,1848년,124,6560883-10-1
629,사업,89,6464200-10-0
630,그리스인들,387,6464200-10-1
631,정의평화위원회,94,6560883-11-0
632,성만찬,537,6560883-11-1
633,1973년 10월,84,6464200-11-0
634,붉은 추기경,260,6464200-11-1
635,월터 브로그만,528,6464200-11-2
636,제9주,118,6560883-12-0
637,링구아 프랑카,283,6560883-12-1
638,토착 언어,8,6464200-12-0
639,마푸둔군,164,6464200-12-1
640,마푸체,136,6464200-12-2
641,6년제,126,6560883-13-0
642,8년,34,6560883-13-1
643,2009년,8,6464200-13-0
644,자격인증,145,6464200-13-1
645,900만원 정도,192,6464200-13-2
646,2006년과 2011년,68,6560883-14-0
647,펭귄,313,6560883-14-1
648,2010년,168,6464200-14-0
649,펭귄,313,6464200-14-1
650,사기,6,6469652-0-0
651,MBC,415,6469652-0-1
652,무한도전,457,6469652-0-2
653,2016년 4월,448,5836397-0-0
654,사기 혐의,6,5836397-0-1
655,2016년 4월,448,6469535-0-0
656,사기 혐의,6,6469535-0-1
657,집행유예,354,6469535-0-2
658,52화,280,5906189-0-0
659,2012년,290,5906189-0-1
660,미국,31,6562452-0-0
661,불의제왕,79,6562452-0-1
662,52화,280,6562452-0-2
663,코라의 전설,1,6597872-0-0
664,2014년,203,6597872-0-1
665,52화,280,6597872-0-2
666,물의 부족,62,5906189-1-0
667,공화국 시,117,5906189-1-1
668,4개,146,5906189-1-2
669,공화국 시,117,6562452-1-0
670,아앙,0,6562452-1-1
671,물,62,6562452-1-2
672,물의 부족,62,6597872-1-0
673,에어밴딩,104,6597872-1-1
674,아앙과 주코,165,6597872-1-2
675,경찰청장,43,5906189-2-0
676,린과 수,58,5906189-2-1
677,경찰,163,5906189-2-2
678,경찰청장,43,6562452-2-0
679,경찰,163,6562452-2-1
680,경찰,163,6597872-2-0
681,자오푸,285,6597872-2-1
682,트라우마,345,6597872-2-2
683,파이어 밴딩,70,5906189-3-0
684,영혼,130,5906189-3-1
685,라바,381,5906189-3-2
686,파이어 밴딩,70,6562452-3-0
687,라바,285,6562452-3-1
688,시간의 나무 속,533,6562452-3-2
689,파이어 밴딩,141,6597872-3-0
690,시간의 나무,533,6597872-3-1
691,북쪽 물의 부족,9,5906189-4-0
692,워터밴딩,37,5906189-4-1
693,다크아바타,249,5906189-4-2
694,워터밴딩,37,6562452-4-0
695,톤락,196,6562452-4-1
696,라바,315,6597872-4-0
697,우나락,346,6597872-4-1
698,주코,53,5906189-5-0
699,흙의 왕국 북서부 지역,320,5906189-5-1
700,북서부 지역,326,6562452-5-0
701,조화 복구 운동,71,6562452-5-1
702,라이코,19,6597872-5-0
703,조화 복구 운동,71,6597872-5-1
704,스피드 스케이팅,57,6488273-0-0
705,이승훈 선수,86,6488273-0-1
706,초등학교 5학년,0,6488275-0-0
707,고등학교 2학년,46,6488275-0-1
708,이승훈,86,6488275-0-2
709,쇼트트랙,11,6267639-0-0
710,1500m,503,6267639-0-1
711,매스스타트,1041,6267639-0-2
712,은메달,76,6488273-1-0
713,4위,395,6488273-1-1
714,은메달,76,6488275-1-0
715,박도영,225,6488275-1-1
716,4위,395,6488275-1-2
717,아스타나실내스피드스케이팅경기장,6,6267639-1-0
718,4분10초54,62,6267639-1-1
719,2위,92,6488273-2-0
720,첫 동메달,356,6488273-2-1
721,한국체대,335,6488275-2-0
722,노르웨이,650,6488275-2-1
723,2011년,0,6267639-2-0
724,2분01초39,128,6267639-2-1
725,금메달,289,6488273-3-0
726,독일 인첼,1001,6488273-3-1
727,최하위,585,6488275-3-0
728,1위,1045,6488275-3-1
729,마리스카 후이스만,1641,6488275-3-2
730,히렌빈,19,6267639-3-0
731,7분11초19,692,6267639-3-1
732,4분16초19,138,6488273-4-0
733,중국 창춘,299,6488273-4-1
734,태릉국제스케이트장,22,6488275-4-0
735,대회신기록,261,6488275-4-1
736,중국 창춘,299,6488275-4-2
737,태릉국제스케이트장,22,6267639-4-0
738,세계올라운드선수권대회,317,6267639-4-1
739,박도영,111,6488273-5-0
740,2분02초44,194,6488273-5-1
741,2분02초44,194,6488275-5-0
742,월드컵 엔트리,400,6488275-5-1
743,공릉동,21,6267639-5-0
744,20,79,6267639-5-1
745,1위,504,6488273-6-0
746,3위,640,6488273-6-1
747,캐나다,13,6488275-6-0
748,네덜란드,609,6488275-6-1
749,강원도청,566,6267639-6-0
750,3위,640,6267639-6-1
751,2분1초19,82,6488273-7-0
752,5위,130,6488273-7-1
753,1500m,66,6488275-7-0
754,일본,367,6488275-7-1
755,바셀가디피네아이스링크경기장,25,6267639-7-0
756,금메달,95,6267639-7-1
757,이레네 부스트,523,6488273-8-0
758,네덜란드,720,6488273-8-1
759,2014년,0,6488275-8-0
760,노선영,268,6488275-8-1
761,8위,1050,6488275-8-2
762,13위,76,6267639-8-0
763,3조,90,6267639-8-1
